Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"n","n","n","\u006E","\u006E","U+006E","U+006E","n","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"o","o","o","\u006F","\u006F","U+006F","U+006F","o","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Dane-Ẕaa,Tsilhqotʼin"
"ō","ō","ō","\u006F\u0304","\u014D","U+006F U+0304","U+014D","o","nēhiyawēwin,Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Southern Tutchone,Tāłtān"
"p","p","p","\u0070","\u0070","U+0070","U+0070","p","nēhiyawēwin,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Tāłtān,Tsilhqotʼin,Nedutʼen / Witsuwitʼen,ʼWuik̓ala"
"s","s","s","\u0073","\u0073","U+0073","U+0073","s","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"t","t","t","\u0074","\u0074","U+0074","U+0074","t","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"w","w","w","\u0077","\u0077","U+0077","U+0077","w","nēhiyawēwin,Dakelh,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"y","y","y","\u0079","\u0079","U+0079","U+0079","y","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"’a","’a","’a","\u2019\u0061","\u2019\u0061","U+2019 U+0061","U+2019 U+0061","'a","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"a’","a’","a’","\u0061\u2019","\u0061\u2019","U+0061 U+2019","U+0061 U+2019","a'","Dakelh"
"’a’","’a’","’a’","\u2019\u0061\u2019","\u2019\u0061\u2019","U+2019 U+0061 U+2019","U+2019 U+0061 U+2019","'a'","Dakelh"
"b","b","b","\u0062","\u0062","U+0062","U+0062","b","Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tāłtān,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"ch","ch","ch","\u0063\u0068","\u0063\u0068","U+0063 U+0068","U+0063 U+0068","ch","Dakelh,Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Tseʼkhene,Nɬeʔkepmxcín,Sgüüx̱s,she shashishalhem,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"ch’","ch’","ch’","\u0063\u0068\u2019","\u0063\u0068\u2019","U+0063 U+0068 U+2019","U+0063 U+0068 U+2019","ch'","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"d","d","d","\u0064","\u0064","U+0064","U+0064","d","Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"dl","dl","dl","\u0064\u006C","\u0064\u006C","U+0064 U+006C","U+0064 U+006C","dl","Dakelh,Danezāgéʼ,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Tseʼkhene,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"dz","dz","dz","\u0064\u007A","\u0064\u007A","U+0064 U+007A","U+0064 U+007A","dz","Dakelh,Danezāgéʼ,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"d̲z̲","d̲z̲","d̲z̲","\u0064\u0332\u007A\u0332","\u0064\u0332\u007A\u0332","U+0064 U+0332 U+007A U+0332","U+0064 U+0332 U+007A U+0332","dz","Dakelh,Dane-Ẕaa"
"’e","’e","’e","\u2019\u0065","\u2019\u0065","U+2019 U+0065","U+2019 U+0065","'e","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"e’","e’","e’","\u0065\u2019","\u0065\u2019","U+0065 U+2019","U+0065 U+2019","e'","Dakelh"
"’e’","’e’","’e’","\u2019\u0065\u2019","\u2019\u0065\u2019","U+2019 U+0065 U+2019","U+2019 U+0065 U+2019","'e'","Dakelh"
"g","g","g","\u0067","\u0067","U+0067","U+0067","g","Dakelh,Danezāgéʼ,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"gh","gh","gh","\u0067\u0068","\u0067\u0068","U+0067 U+0068","U+0067 U+0068","gh","Dakelh,Danezāgéʼ,Dene Kʼe,Tseʼkhene,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Dane-Ẕaa,Tsilhqotʼin"
"gw","gw","gw","\u0067\u0077","\u0067\u0077","U+0067 U+0077","U+0067 U+0077","gw","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Dene Kʼe,Tseʼkhene,kwakiutl,Kwak̕wala,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Lingít,Tsilhqotʼin"
"’i","’i","’i","\u2019\u0069","\u2019\u0069","U+2019 U+0069","U+2019 U+0069","'i","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"i’","i’","i’","\u0069\u2019","\u0069\u2019","U+0069 U+2019","U+0069 U+2019","i'","Dakelh"
"’i’","’i’","’i’","\u2019\u0069\u2019","\u2019\u0069\u2019","U+2019 U+0069 U+2019","U+2019 U+0069 U+2019","'i'","Dakelh"
"j","j","j","\u006A","\u006A","U+006A","U+006A","j","Dakelh,Danezāgéʼ,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̱aad Kil / X̱aayda Kil,Dene Kʼe,Tseʼkhene,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"k’","k’","k’","\u006B\u2019","\u006B\u2019","U+006B U+2019","U+006B U+2019","k'","Dakelh,Tseʼkhene,Nuxalk,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,Nedutʼen / Witsuwitʼen"
"kh","kh","kh","\u006B\u0068","\u006B\u0068","U+006B U+0068","U+006B U+0068","kh","Dakelh,Tseʼkhene,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān"
"kw","kw","kw","\u006B\u0077","\u006B\u0077","U+006B U+0077","U+006B U+0077","kw","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,kwakiutl,Kwak̕wala,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nɬeʔkepmxcín,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Lingít,Tsilhqotʼin"
"kw’","kw’","kw’","\u006B\u0077\u2019","\u006B\u0077\u2019","U+006B U+0077 U+2019","U+006B U+0077 U+2019","kw'","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,Nuxalk,Tsilhqotʼin,Nedutʼen / Witsuwitʼen"
"lh","lh","lh","\u006C\u0068","\u006C\u0068","U+006C U+0068","U+006C U+0068","lh","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nɬeʔkepmxcín,Nuxalk,she shashishalhem,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"’o","’o","’o","\u2019\u006F","\u2019\u006F","U+2019 U+006F","U+2019 U+006F","'o","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"o’","o’","o’","\u006F\u2019","\u006F\u2019","U+006F U+2019","U+006F U+2019","o'","Dakelh"
"’o’","’o’","’o’","\u2019\u006F\u2019","\u2019\u006F\u2019","U+2019 U+006F U+2019","U+2019 U+006F U+2019","'o'","Dakelh"
"oo","oo","oo","\u006F\u006F","\u006F\u006F","U+006F U+006F","U+006F U+006F","oo","Dakelh,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Sgüüx̱s,Sm'algya̱x,Lingít"
"’oo","’oo","’oo","\u2019\u006F\u006F","\u2019\u006F\u006F","U+2019 U+006F U+006F","U+2019 U+006F U+006F","'oo","Dakelh"
"oo’","oo’","oo’","\u006F\u006F\u2019","\u006F\u006F\u2019","U+006F U+006F U+2019","U+006F U+006F U+2019","oo'","Dakelh"
"’oo’","’oo’","’oo’","\u2019\u006F\u006F\u2019","\u2019\u006F\u006F\u2019","U+2019 U+006F U+006F U+2019","U+2019 U+006F U+006F U+2019","'oo'","Dakelh"
"s̲","s̲","s̲","\u0073\u0332","\u0073\u0332","U+0073 U+0332","U+0073 U+0332","s","Dakelh,St̓át̓imcets,Dane-Ẕaa"
"sh","sh","sh","\u0073\u0068","\u0073\u0068","U+0073 U+0068","U+0073 U+0068","sh","Dakelh,Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Dene Kʼe,Tseʼkhene,Nɬeʔkepmxcín,she shashishalhem,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"t’","t’","t’","\u0074\u2019","\u0074\u2019","U+0074 U+2019","U+0074 U+2019","t'","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,Nuxalk,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,Nedutʼen / Witsuwitʼen"
"tl","tl","tl","\u0074\u006C","\u0074\u006C","U+0074 U+006C","U+0074 U+006C","tl","Dakelh,Danezāgéʼ,X̱aad Kil / X̱aayda Kil,Tseʼkhene,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"tl’","tl’","tl’","\u0074\u006C\u2019","\u0074\u006C\u2019","U+0074 U+006C U+2019","U+0074 U+006C U+2019","tl'","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,Nuxalk,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,Nedutʼen / Witsuwitʼen"
"ts","ts","ts","\u0074\u0073","\u0074\u0073","U+0074 U+0073","U+0074 U+0073","ts","Dakelh,Danezāgéʼ,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,kwakiutl,Kwak̕wala,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil"
"ts’","ts’","ts’","\u0074\u0073\u2019","\u0074\u0073\u2019","U+0074 U+0073 U+2019","U+0074 U+0073 U+2019","ts'","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene,Nuxalk,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,Nedutʼen / Witsuwitʼen"
"t̲s̲","t̲s̲","t̲s̲","\u0074\u0332\u0073\u0332","\u0074\u0332\u0073\u0332","U+0074 U+0332 U+0073 U+0332","U+0074 U+0332 U+0073 U+0332","ts","Dakelh,St̓át̓imcets,Dane-Ẕaa"
"u","u","u","\u0075","\u0075","U+0075","U+0075","u","Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"’u","’u","’u","\u2019\u0075","\u2019\u0075","U+2019 U+0075","U+2019 U+0075","'u","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"u’","u’","u’","\u0075\u2019","\u0075\u2019","U+0075 U+2019","U+0075 U+2019","u'","Dakelh"
"’u’","’u’","’u’","\u2019\u0075\u2019","\u2019\u0075\u2019","U+2019 U+0075 U+2019","U+2019 U+0075 U+2019","'u'","Dakelh"
"ai","ai","ai","\u0061\u0069","\u0061\u0069","U+0061 U+0069","U+0061 U+0069","ai","Dakelh,Dane-Ẕaa"
"’ai","’ai","’ai","\u2019\u0061\u0069","\u2019\u0061\u0069","U+2019 U+0061 U+0069","U+2019 U+0061 U+0069","'ai","Dakelh"
"ai’","ai’","ai’","\u0061\u0069\u2019","\u0061\u0069\u2019","U+0061 U+0069 U+2019","U+0061 U+0069 U+2019","ai'","Dakelh"
