Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"a","a","a","\u0061","\u0061","U+0061","U+0061","a","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"ā","ā","ā","\u0061\u0304","\u0101","U+0061 U+0304","U+0101","a","nēhiyawēwin,Danezāgéʼ,Southern Tutchone,Tāłtān"
"c","c","c","\u0063","\u0063","U+0063","U+0063","c","nēhiyawēwin,diitiidʔaaʔtx̣,nuučaan̓uł,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Nɬeʔkepmxcín,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Kwak̕wala,Nedutʼen / Witsuwitʼen,Nsyilxcən,Nuxalk,Secwepemctsín,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,ʼWuik̓ala"
"e","e","e","\u0065","\u0065","U+0065","U+0065","e","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin"
"ē","ē","ē","\u0065\u0304","\u0113","U+0065 U+0304","U+0113","e","nēhiyawēwin,Danezāgéʼ,Kwak̕wala,Southern Tutchone,Tāłtān"
"h","h","h","\u0068","\u0068","U+0068","U+0068","h","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"i","i","i","\u0069","\u0069","U+0069","U+0069","i","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"k","k","k","\u006B","\u006B","U+006B","U+006B","k","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"l","l","l","\u006C","\u006C","U+006C","U+006C","l","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Lingít,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
"m","m","m","\u006D","\u006D","U+006D","U+006D","m","nēhiyawēwin,Dakelh,Danezāgéʼ,diitiidʔaaʔtx̣,nuučaan̓uł,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,X̄enaksialak̓ala / X̄aʼislak̓ala,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,X̱aad Kil / X̱aayda Kil,Éy7á7juuthem,Dene Kʼe,Nɬeʔkepmxcín,Ktunaxa,Tseʼkhene,kwakiutl,Kwak̕wala,kyuquot-checleseht,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nsyilxcən,Nuxalk,Secwepemctsín,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,Tāłtān,Dane-Ẕaa,Tsilhqotʼin,ʼWuik̓ala"
