Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"n","n","n","\u006E","\u006E","U+006E","U+006E","n","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"o","o","o","\u006F","\u006F","U+006F","U+006F","o","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,haisla,halqemeylem,hlgaagilda-xaayda-kil,homalco,hulquminum,kahsho-gotine,klahoose,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,northern-statimcets,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,tahltan"
"ō","ō","ō","\u006F\u0304","\u014D","U+006F U+0304","U+014D","o","cree-saulteau,denekeh-kaska,halqemeylem,southern-tutchone,tahltan"
"p","p","p","\u0070","\u0070","U+0070","U+0070","p","cree-saulteau,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nakwala-gwatsala,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"s","s","s","\u0073","\u0073","U+0073","U+0073","s","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sencoten,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"t","t","t","\u0074","\u0074","U+0074","U+0074","t","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"w","w","w","\u0077","\u0077","U+0077","U+0077","w","cree-saulteau,dakelh-southern-carrier,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"y","y","y","\u0079","\u0079","U+0079","U+0079","y","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"’a","’a","’a","\u2019\u0061","\u2019\u0061","U+2019 U+0061","U+2019 U+0061","'a","dakelh-southern-carrier,haisla"
"a’","a’","a’","\u0061\u2019","\u0061\u2019","U+0061 U+2019","U+0061 U+2019","a'","dakelh-southern-carrier"
"’a’","’a’","’a’","\u2019\u0061\u2019","\u2019\u0061\u2019","U+2019 U+0061 U+2019","U+2019 U+0061 U+2019","'a'","dakelh-southern-carrier"
"b","b","b","\u0062","\u0062","U+0062","U+0062","b","dakelh-southern-carrier,denekeh-kaska,diidiitidq,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,hlgaagilda-xaayda-kil,kahsho-gotine,kwadacha-tsekene,kwakiutl,kwakwala,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,saikuz-dakelh,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,tahltan"
"ch","ch","ch","\u0063\u0068","\u0063\u0068","U+0063 U+0068","U+0063 U+0068","ch","dakelh-southern-carrier,denekeh-kaska,halqemeylem,hlgaagilda-xaayda-kil,hulquminum,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,nlakapamuxcheen,saikuz-dakelh,sguuxs,she-shashishalhem,snuneymuxw,southern-tutchone,stzuminus,tahltan,tillicumlelum"
"ch’","ch’","ch’","\u0063\u0068\u2019","\u0063\u0068\u2019","U+0063 U+0068 U+2019","U+0063 U+0068 U+2019","ch'","dakelh-southern-carrier,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,saikuz-dakelh,tahltan"
"d","d","d","\u0064","\u0064","U+0064","U+0064","d","dakelh-southern-carrier,denekeh-kaska,diidiitidq,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,hlgaagilda-xaayda-kil,kahsho-gotine,kwadacha-tsekene,kwakiutl,kwakwala,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,saikuz-dakelh,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,southern-tutchone,tahltan"
"dl","dl","dl","\u0064\u006C","\u0064\u006C","U+0064 U+006C","U+0064 U+006C","dl","dakelh-southern-carrier,denekeh-kaska,hlgaagilda-xaayda-kil,kahsho-gotine,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,saikuz-dakelh,southern-tutchone,tahltan"
"dz","dz","dz","\u0064\u007A","\u0064\u007A","U+0064 U+007A","U+0064 U+007A","dz","dakelh-southern-carrier,denekeh-kaska,kahsho-gotine,kwadacha-tsekene,kwakiutl,kwakwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,saikuz-dakelh,sguuxs,smalgyax-kitsumkalum,smalgyax,southern-tutchone,tahltan"
"d̲z̲","d̲z̲","d̲z̲","\u0064\u0332\u007A\u0332","\u0064\u0332\u007A\u0332","U+0064 U+0332 U+007A U+0332","U+0064 U+0332 U+007A U+0332","dz","dakelh-southern-carrier,nadleh-stella-whutenne,nakazdli-dakelh,saikuz-dakelh"
"’e","’e","’e","\u2019\u0065","\u2019\u0065","U+2019 U+0065","U+2019 U+0065","'e","dakelh-southern-carrier,haisla"
"e’","e’","e’","\u0065\u2019","\u0065\u2019","U+0065 U+2019","U+0065 U+2019","e'","dakelh-southern-carrier"
"’e’","’e’","’e’","\u2019\u0065\u2019","\u2019\u0065\u2019","U+2019 U+0065 U+2019","U+2019 U+0065 U+2019","'e'","dakelh-southern-carrier"
"g","g","g","\u0067","\u0067","U+0067","U+0067","g","dakelh-southern-carrier,denekeh-kaska,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,hlgaagilda-xaayda-kil,homalco,kahsho-gotine,klahoose,kwadacha-tsekene,kwakiutl,kwakwala,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,northern-statimcets,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,southern-tutchone,splatsin,tahltan"
"gh","gh","gh","\u0067\u0068","\u0067\u0068","U+0067 U+0068","U+0067 U+0068","gh","dakelh-southern-carrier,denekeh-kaska,kahsho-gotine,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,saikuz-dakelh,southern-tutchone,tahltan"
"gw","gw","gw","\u0067\u0077","\u0067\u0077","U+0067 U+0077","U+0067 U+0077","gw","dakelh-southern-carrier,gigeenix-gitxsanimx,gitsenimx,kahsho-gotine,kwadacha-tsekene,kwakiutl,kwakwala,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,northern-statimcets,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,southern-tutchone,splatsin"
"’i","’i","’i","\u2019\u0069","\u2019\u0069","U+2019 U+0069","U+2019 U+0069","'i","dakelh-southern-carrier,haisla"
"i’","i’","i’","\u0069\u2019","\u0069\u2019","U+0069 U+2019","U+0069 U+2019","i'","dakelh-southern-carrier"
"’i’","’i’","’i’","\u2019\u0069\u2019","\u2019\u0069\u2019","U+2019 U+0069 U+2019","U+2019 U+0069 U+2019","'i'","dakelh-southern-carrier"
"j","j","j","\u006A","\u006A","U+006A","U+006A","j","dakelh-southern-carrier,denekeh-kaska,gigeenix-gitxsanimx,gitsenimx,hlgaagilda-xaayda-kil,kahsho-gotine,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,nisgaa,saikuz-dakelh,southern-tutchone,tahltan"
"k’","k’","k’","\u006B\u2019","\u006B\u2019","U+006B U+2019","U+006B U+2019","k'","dakelh-southern-carrier,kwadacha-tsekene,nadleh-stella-whutenne,nuxalk,saikuz-dakelh,tahltan"
"kh","kh","kh","\u006B\u0068","\u006B\u0068","U+006B U+0068","U+006B U+0068","kh","dakelh-southern-carrier,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,saikuz-dakelh,southern-tutchone,tahltan"
"kw","kw","kw","\u006B\u0077","\u006B\u0077","U+006B U+0077","U+006B U+0077","kw","dakelh-southern-carrier,gigeenix-gitxsanimx,gitsenimx,halqemeylem,hulquminum,hwulmuhwqun,kwadacha-tsekene,kwakiutl,kwakwala,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,northern-statimcets,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,tillicumlelum"
"kw’","kw’","kw’","\u006B\u0077\u2019","\u006B\u0077\u2019","U+006B U+0077 U+2019","U+006B U+0077 U+2019","kw'","dakelh-southern-carrier,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,nuxalk,saikuz-dakelh"
"lh","lh","lh","\u006C\u0068","\u006C\u0068","U+006C U+0068","U+006C U+0068","lh","dakelh-southern-carrier,halqemeylem,hulquminum,hwulmuhwqun,kwadacha-tsekene,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,nkukwtsa-stlatlimx,nlakapamuxcheen,northern-statimcets,nuxalk,saikuz-dakelh,she-shashishalhem,snuneymuxw,stzuminus,tillicumlelum"
"’o","’o","’o","\u2019\u006F","\u2019\u006F","U+2019 U+006F","U+2019 U+006F","'o","dakelh-southern-carrier,haisla"
"o’","o’","o’","\u006F\u2019","\u006F\u2019","U+006F U+2019","U+006F U+2019","o'","dakelh-southern-carrier"
"’o’","’o’","’o’","\u2019\u006F\u2019","\u2019\u006F\u2019","U+2019 U+006F U+2019","U+2019 U+006F U+2019","'o'","dakelh-southern-carrier"
"oo","oo","oo","\u006F\u006F","\u006F\u006F","U+006F U+006F","U+006F U+006F","oo","dakelh-southern-carrier,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hulquminum,hwulmuhwqun,kwadacha-tsekene,kyuquot-checleseht,kyuquot-chektleseth,nadleh-stella-whutenne,nakazdli-dakelh,nisgaa,nlakapamuxcheen,saikuz-dakelh,sguuxs,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,stzuminus,tillicumlelum"
"’oo","’oo","’oo","\u2019\u006F\u006F","\u2019\u006F\u006F","U+2019 U+006F U+006F","U+2019 U+006F U+006F","'oo","dakelh-southern-carrier"
"oo’","oo’","oo’","\u006F\u006F\u2019","\u006F\u006F\u2019","U+006F U+006F U+2019","U+006F U+006F U+2019","oo'","dakelh-southern-carrier"
"’oo’","’oo’","’oo’","\u2019\u006F\u006F\u2019","\u2019\u006F\u006F\u2019","U+2019 U+006F U+006F U+2019","U+2019 U+006F U+006F U+2019","'oo'","dakelh-southern-carrier"
"s̲","s̲","s̲","\u0073\u0332","\u0073\u0332","U+0073 U+0332","U+0073 U+0332","s","dakelh-southern-carrier,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,nkukwtsa-stlatlimx,northern-statimcets,saikuz-dakelh"
"sh","sh","sh","\u0073\u0068","\u0073\u0068","U+0073 U+0068","U+0073 U+0068","sh","dakelh-southern-carrier,denekeh-kaska,halqemeylem,hulquminum,hwulmuhwqun,kahsho-gotine,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,nlakapamuxcheen,saikuz-dakelh,she-shashishalhem,snuneymuxw,southern-tutchone,stzuminus,tahltan,tillicumlelum"
"t’","t’","t’","\u0074\u2019","\u0074\u2019","U+0074 U+2019","U+0074 U+2019","t'","dakelh-southern-carrier,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,nuxalk,saikuz-dakelh,tahltan"
"tl","tl","tl","\u0074\u006C","\u0074\u006C","U+0074 U+006C","U+0074 U+006C","tl","dakelh-southern-carrier,denekeh-kaska,hlgaagilda-xaayda-kil,kwadacha-tsekene,nadleh-stella-whutenne,nakazdli-dakelh,neduten-lake-babine,saikuz-dakelh,southern-tutchone,tahltan"
"tl’","tl’","tl’","\u0074\u006C\u2019","\u0074\u006C\u2019","U+0074 U+006C U+2019","U+0074 U+006C U+2019","tl'","dakelh-southern-carrier,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,nuxalk,saikuz-dakelh,tahltan"
"ts","ts","ts","\u0074\u0073","\u0074\u0073","U+0074 U+0073","U+0074 U+0073","ts","dakelh-southern-carrier,denekeh-kaska,gigeenix-gitxsanimx,gitsenimx,halqemeylem,hulquminum,hwulmuhwqun,kwadacha-tsekene,kwakiutl,kwakwala,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,northern-statimcets,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,tahltan"
"ts’","ts’","ts’","\u0074\u0073\u2019","\u0074\u0073\u2019","U+0074 U+0073 U+2019","U+0074 U+0073 U+2019","ts'","dakelh-southern-carrier,hwulmuhwqun,kwadacha-tsekene,nadleh-stella-whutenne,nuxalk,saikuz-dakelh,tahltan"
"t̲s̲","t̲s̲","t̲s̲","\u0074\u0332\u0073\u0332","\u0074\u0332\u0073\u0332","U+0074 U+0332 U+0073 U+0332","U+0074 U+0332 U+0073 U+0332","ts","dakelh-southern-carrier,lilwat,nadleh-stella-whutenne,nakazdli-dakelh,nkukwtsa-stlatlimx,saikuz-dakelh"
"u","u","u","\u0075","\u0075","U+0075","U+0075","u","dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,tahltan,tillicumlelum"
"’u","’u","’u","\u2019\u0075","\u2019\u0075","U+2019 U+0075","U+2019 U+0075","'u","dakelh-southern-carrier,haisla"
"u’","u’","u’","\u0075\u2019","\u0075\u2019","U+0075 U+2019","U+0075 U+2019","u'","dakelh-southern-carrier"
"’u’","’u’","’u’","\u2019\u0075\u2019","\u2019\u0075\u2019","U+2019 U+0075 U+2019","U+2019 U+0075 U+2019","'u'","dakelh-southern-carrier"
"ai","ai","ai","\u0061\u0069","\u0061\u0069","U+0061 U+0069","U+0061 U+0069","ai","dakelh-southern-carrier"
