Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"a","a","a","\u0061","\u0061","U+0061","U+0061","a","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"ā","ā","ā","\u0061\u0304","\u0101","U+0061 U+0304","U+0101","a","cree-saulteau,denekeh-kaska,southern-tutchone,tahltan"
"c","c","c","\u0063","\u0063","U+0063","U+0063","c","cree-saulteau,diidiitidq,ehattesaht-nuchatlaht,hailzaqvla,haisla,hesquiaht,kanakabar,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,neduten-lake-babine,nkukwtsa-stlatlimx,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,secwepemc,secwepemctsin-eastern,splatsin,syilx,tillicumlelum"
"e","e","e","\u0065","\u0065","U+0065","U+0065","e","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,haisla,halqemeylem,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nuu-chah-nulth-barkley,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,tahltan,tillicumlelum"
"ē","ē","ē","\u0065\u0304","\u0113","U+0065 U+0304","U+0113","e","cree-saulteau,denekeh-kaska,liqwala,southern-tutchone,tahltan"
"h","h","h","\u0068","\u0068","U+0068","U+0068","h","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"i","i","i","\u0069","\u0069","U+0069","U+0069","i","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"k","k","k","\u006B","\u006B","U+006B","U+006B","k","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"l","l","l","\u006C","\u006C","U+006C","U+006C","l","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
"m","m","m","\u006D","\u006D","U+006D","U+006D","m","cree-saulteau,dakelh-southern-carrier,denekeh-kaska,diidiitidq,ehattesaht-nuchatlaht,gigeenix-gitxsanimx,gitsenimx,hailzaqvla,haisla,halqemeylem,hesquiaht,hlgaagilda-xaayda-kil,homalco,hulquminum,hwulmuhwqun,kahsho-gotine,kanakabar,klahoose,ktunaxa,kwadacha-tsekene,kwakiutl,kwakwala,kyuquot-checleseht,kyuquot-chektleseth,lekwungen,lilwat,liqwala,nadleh-stella-whutenne,nakazdli-dakelh,nakwala-gwatsala,neduten-lake-babine,nisgaa,nkukwtsa-stlatlimx,nlakapamuxcheen,nlekepmxcin,northern-statimcets,nsyilxcen,nuu-chah-nulth-barkley,nuxalk,saikuz-dakelh,secwepemc,secwepemctsin-eastern,sguuxs,she-shashishalhem,smalgyax-kitsumkalum,smalgyax-metlakatla,smalgyax,snuneymuxw,southern-tutchone,splatsin,stzuminus,syilx,tahltan,tillicumlelum"
