Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"'","'","'","\u0027","\u0027","U+0027","U+0027","'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"'a","'a","'a","\u0027\u0061","\u0027\u0061","U+0027 U+0061","U+0027 U+0061","'a","Dakelh"
"'e","'e","'e","\u0027\u0065","\u0027\u0065","U+0027 U+0065","U+0027 U+0065","'e","Dakelh"
"'i","'i","'i","\u0027\u0069","\u0027\u0069","U+0027 U+0069","U+0027 U+0069","'i","Dakelh"
"'l","'l","'l","\u0027\u006C","\u0027\u006C","U+0027 U+006C","U+0027 U+006C","'l","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"'m","'m","'m","\u0027\u006D","\u0027\u006D","U+0027 U+006D","U+0027 U+006D","'m","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x"
"'n","'n","'n","\u0027\u006E","\u0027\u006E","U+0027 U+006E","U+0027 U+006E","'n","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x"
"'o","'o","'o","\u0027\u006F","\u0027\u006F","U+0027 U+006F","U+0027 U+006F","'o","Dakelh"
"'u","'u","'u","\u0027\u0075","\u0027\u0075","U+0027 U+0075","U+0027 U+0075","'u","Dakelh"
"'w","'w","'w","\u0027\u0077","\u0027\u0077","U+0027 U+0077","U+0027 U+0077","'w","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"'y","'y","'y","\u0027\u0079","\u0027\u0079","U+0027 U+0079","U+0027 U+0079","'y","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"'ẅ","'ẅ","'ẅ","\u0027\u0077\u0308","\u0027\u1E85","U+0027 U+0077 U+0308","U+0027 U+1E85","'w","Sgüüx̱s,Sm'algya̱x"
"-","-","-","\u002D","\u002D","U+002D","U+002D","-","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nɬeʔkepmxcín"
".",".",".","\u002E","\u002E","U+002E","U+002E",".","Lingít,Nɬeʔkepmxcín,X̱aad Kil / X̱aayda Kil"
"7","7","7","\u0037","\u0037","U+0037","U+0037","7","Nuxalk,Secwepemctsín,St̓át̓imcets"
":",":",":","\u003A","\u003A","U+003A","U+003A",":","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"A","A","A","\u0041","\u0041","U+0041","U+0041","A","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"B","B","B","\u0042","\u0042","U+0042","U+0042","B","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C","C","C","\u0043","\u0043","U+0043","U+0043","C","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"D","D","D","\u0044","\u0044","U+0044","U+0044","D","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"E","E","E","\u0045","\u0045","U+0045","U+0045","E","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"EE","EE","EE","\u0045\u0045","\u0045\u0045","U+0045 U+0045","U+0045 U+0045","EE","Nɬeʔkepmxcín"
"H","H","H","\u0048","\u0048","U+0048","U+0048","H","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"I","I","I","\u0049","\u0049","U+0049","U+0049","I","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"J","J","J","\u004A","\u004A","U+004A","U+004A","J","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K","K","K","\u004B","\u004B","U+004B","U+004B","K","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Kw","Kw","Kw","\u004B\u0077","\u004B\u0077","U+004B U+0077","U+004B U+0077","Kw","Nɬeʔkepmxcín"
"K̲","K̲","K̲","\u004B\u0332","\u004B\u0332","U+004B U+0332","U+004B U+0332","K","Nɬeʔkepmxcín"
"K̲w","K̲w","K̲w","\u004B\u0332\u0077","\u004B\u0332\u0077","U+004B U+0332 U+0077","U+004B U+0332 U+0077","Kw","Nɬeʔkepmxcín"
"L","L","L","\u004C","\u004C","U+004C","U+004C","L","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"M","M","M","\u004D","\u004D","U+004D","U+004D","M","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"N","N","N","\u004E","\u004E","U+004E","U+004E","N","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"O","O","O","\u004F","\u004F","U+004F","U+004F","O","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"OO","OO","OO","\u004F\u004F","\u004F\u004F","U+004F U+004F","U+004F U+004F","OO","Nɬeʔkepmxcín"
"P","P","P","\u0050","\u0050","U+0050","U+0050","P","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Q","Q","Q","\u0051","\u0051","U+0051","U+0051","Q","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"S","S","S","\u0053","\u0053","U+0053","U+0053","S","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"T","T","T","\u0054","\u0054","U+0054","U+0054","T","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"TL","TL","TL","\u0054\u004C","\u0054\u004C","U+0054 U+004C","U+0054 U+004C","TL","Nɬeʔkepmxcín"
"TS","TS","TS","\u0054\u0053","\u0054\u0053","U+0054 U+0053","U+0054 U+0053","TS","Nɬeʔkepmxcín"
"U","U","U","\u0055","\u0055","U+0055","U+0055","U","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"W","W","W","\u0057","\u0057","U+0057","U+0057","W","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"W̱","W̱","W̱","\u0057\u0331","\u0057\u0331","U+0057 U+0331","U+0057 U+0331","W","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"X","X","X","\u0058","\u0058","U+0058","U+0058","X","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"X̱","X̱","X̱","\u0058\u0331","\u0058\u0331","U+0058 U+0331","U+0058 U+0331","X","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Y","Y","Y","\u0059","\u0059","U+0059","U+0059","Y","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Z","Z","Z","\u005A","\u005A","U+005A","U+005A","Z","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"a","a","a","\u0061","\u0061","U+0061","U+0061","a","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,Éy7á7juuthem,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Lingít,Nedutʼen / Witsuwitʼen,nēhiyawēwin,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Nuxalk,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,St̓át̓imcets,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"a:","a:","a:","\u0061\u003A","\u0061\u003A","U+0061 U+003A","U+0061 U+003A","a:","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"aa","aa","aa","\u0061\u0061","\u0061\u0061","U+0061 U+0061","U+0061 U+0061","aa","Dane-Ẕaa,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kyuquot-checleseht,Lingít,Nisg̱aʼa,nuučaan̓uł,Nuxalk,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"aaw","aaw","aaw","\u0061\u0061\u0077","\u0061\u0061\u0077","U+0061 U+0061 U+0077","U+0061 U+0061 U+0077","aaw","Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"aay","aay","aay","\u0061\u0061\u0079","\u0061\u0061\u0079","U+0061 U+0061 U+0079","U+0061 U+0061 U+0079","aay","Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"ae","ae","ae","\u0061\u0065","\u0061\u0065","U+0061 U+0065","U+0061 U+0065","ae","Dane-Ẕaa"
"ah","ah","ah","\u0061\u0068","\u0061\u0068","U+0061 U+0068","U+0061 U+0068","ah","Secwepemctsín,X̱aad Kil / X̱aayda Kil"
"ai","ai","ai","\u0061\u0069","\u0061\u0069","U+0061 U+0069","U+0061 U+0069","ai","Dakelh,Dane-Ẕaa"
"ai’","ai’","ai’","\u0061\u0069\u2019","\u0061\u0069\u2019","U+0061 U+0069 U+2019","U+0061 U+0069 U+2019","ai'","Dakelh"
"an","an","an","\u0061\u006E","\u0061\u006E","U+0061 U+006E","U+0061 U+006E","an","X̱aad Kil / X̱aayda Kil"
