Character,NFD,NFC,NFD Escaped,NFC Escaped,NFD Code Points,NFC Code Points,AnyAscii,Languages
"ang","ang","ang","\u0061\u006E\u0067","\u0061\u006E\u0067","U+0061 U+006E U+0067","U+0061 U+006E U+0067","ang","X̱aad Kil / X̱aayda Kil"
"ao","ao","ao","\u0061\u006F","\u0061\u006F","U+0061 U+006F","U+0061 U+006F","ao","St̓át̓imcets"
"aw","aw","aw","\u0061\u0077","\u0061\u0077","U+0061 U+0077","U+0061 U+0077","aw","Éy7á7juuthem,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"ay","ay","ay","\u0061\u0079","\u0061\u0079","U+0061 U+0079","U+0061 U+0079","ay","Éy7á7juuthem,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"a·","a·","a·","\u0061\u00B7","\u0061\u00B7","U+0061 U+00B7","U+0061 U+00B7","a-","Ktunaxa"
"aó","aó","aó","\u0061\u006F\u0301","\u0061\u00F3","U+0061 U+006F U+0301","U+0061 U+00F3","ao","St̓át̓imcets"
"aˈa","aˈa","aˈa","\u0061\u02C8\u0061","\u0061\u02C8\u0061","U+0061 U+02C8 U+0061","U+0061 U+02C8 U+0061","a'a","Sm'algya̱x"
"a̓","a̓","a̓","\u0061\u0313","\u0061\u0313","U+0061 U+0313","U+0061 U+0313","a","Haíɫzaqvḷa,ʼWuik̓ala"
"a̱","a̱","a̱","\u0061\u0331","\u0061\u0331","U+0061 U+0331","U+0061 U+0331","a","kwakiutl,Kwak̕wala,Sgüüx̱s,Sm'algya̱x,Tseʼkhene"
"a̱a̱","a̱a̱","a̱a̱","\u0061\u0331\u0061\u0331","\u0061\u0331\u0061\u0331","U+0061 U+0331 U+0061 U+0331","U+0061 U+0331 U+0061 U+0331","aa","Sm'algya̱x"
"a̱ˈa̱","a̱ˈa̱","a̱ˈa̱","\u0061\u0331\u02C8\u0061\u0331","\u0061\u0331\u02C8\u0061\u0331","U+0061 U+0331 U+02C8 U+0061 U+0331","U+0061 U+0331 U+02C8 U+0061 U+0331","a'a","Sm'algya̱x"
"a’","a’","a’","\u0061\u2019","\u0061\u2019","U+0061 U+2019","U+0061 U+2019","a'","Dakelh"
"b","b","b","\u0062","\u0062","U+0062","U+0062","b","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"b̓","b̓","b̓","\u0062\u0313","\u0062\u0313","U+0062 U+0313","U+0062 U+0313","b","diitiidʔaaʔtx̣"
"c","c","c","\u0063","\u0063","U+0063","U+0063","c","diitiidʔaaʔtx̣,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nedutʼen / Witsuwitʼen,nēhiyawēwin,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Nuxalk,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"c'","c'","c'","\u0063\u0027","\u0063\u0027","U+0063 U+0027","U+0063 U+0027","c'","Nedutʼen / Witsuwitʼen"
"ch","ch","ch","\u0063\u0068","\u0063\u0068","U+0063 U+0068","U+0063 U+0068","ch","Dakelh,Dane-Ẕaa,Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít,Nɬeʔkepmxcín,Sgüüx̱s,she shashishalhem,Southern Tutchone,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil"
"ch'","ch'","ch'","\u0063\u0068\u0027","\u0063\u0068\u0027","U+0063 U+0068 U+0027","U+0063 U+0068 U+0027","ch'","Dakelh,Dene Kʼe,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Tseʼkhene"
"chʼ","chʼ","chʼ","\u0063\u0068\u02BC","\u0063\u0068\u02BC","U+0063 U+0068 U+02BC","U+0063 U+0068 U+02BC","ch'","Danezāgéʼ,Southern Tutchone"
"ch̕","ch̕","ch̕","\u0063\u0068\u0315","\u0063\u0068\u0315","U+0063 U+0068 U+0315","U+0063 U+0068 U+0315","ch","she shashishalhem"
"ch’","ch’","ch’","\u0063\u0068\u2019","\u0063\u0068\u2019","U+0063 U+0068 U+2019","U+0063 U+0068 U+2019","ch'","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"cw","cw","cw","\u0063\u0077","\u0063\u0077","U+0063 U+0077","U+0063 U+0077","cw","Nuxalk,Secwepemctsín,St̓át̓imcets"
"c̓","c̓","c̓","\u0063\u0313","\u0063\u0313","U+0063 U+0313","U+0063 U+0313","c","diitiidʔaaʔtx̣,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"c̓h","c̓h","c̓h","\u0063\u0313\u0068","\u0063\u0313\u0068","U+0063 U+0313 U+0068","U+0063 U+0313 U+0068","ch","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"c̣","c̣","c̣","\u0063\u0323","\u0063\u0323","U+0063 U+0323","U+0063 U+0323","c","Nɬeʔkepmxcín"
"c’","c’","c’","\u0063\u2019","\u0063\u2019","U+0063 U+2019","U+0063 U+2019","c'","Nedutʼen / Witsuwitʼen"
"d","d","d","\u0064","\u0064","U+0064","U+0064","d","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Lingít,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"ddh","ddh","ddh","\u0064\u0064\u0068","\u0064\u0064\u0068","U+0064 U+0064 U+0068","U+0064 U+0064 U+0068","ddh","Southern Tutchone"
"dh","dh","dh","\u0064\u0068","\u0064\u0068","U+0064 U+0068","U+0064 U+0068","dh","Southern Tutchone,ʼWuik̓ala"
"dl","dl","dl","\u0064\u006C","\u0064\u006C","U+0064 U+006C","U+0064 U+006C","dl","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,Lingít,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil"
"dz","dz","dz","\u0064\u007A","\u0064\u007A","U+0064 U+007A","U+0064 U+007A","dz","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,kwakiutl,Kwak̕wala,Lingít,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"dł","dł","dł","\u0064\u0142","\u0064\u0142","U+0064 U+0142","U+0064 U+0142","dl","kwakiutl,Kwak̕wala"
"d̓","d̓","d̓","\u0064\u0313","\u0064\u0313","U+0064 U+0313","U+0064 U+0313","d","diitiidʔaaʔtx̣"
"d̲z̲","d̲z̲","d̲z̲","\u0064\u0332\u007A\u0332","\u0064\u0332\u007A\u0332","U+0064 U+0332 U+007A U+0332","U+0064 U+0332 U+007A U+0332","dz","Dakelh,Dane-Ẕaa"
"dᶻ","dᶻ","dᶻ","\u0064\u1DBB","\u0064\u1DBB","U+0064 U+1DBB","U+0064 U+1DBB","dz","Kwak̕wala"
"dẑ","dẑ","dẑ","\u0064\u007A\u0302","\u0064\u1E91","U+0064 U+007A U+0302","U+0064 U+1E91","dz","Tsilhqotʼin"
"dẕ","dẕ","dẕ","\u0064\u007A\u0331","\u0064\u1E95","U+0064 U+007A U+0331","U+0064 U+1E95","dz","Tāłtān"
"e","e","e","\u0065","\u0065","U+0065","U+0065","e","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,Éy7á7juuthem,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,kyuquot-checleseht,Lingít,Nedutʼen / Witsuwitʼen,nēhiyawēwin,Nisg̱aʼa,Nɬeʔkepmxcín,nuučaan̓uł,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,St̓át̓imcets,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̄enaksialak̓ala / X̄aʼislak̓ala"
"e:","e:","e:","\u0065\u003A","\u0065\u003A","U+0065 U+003A","U+0065 U+003A","e:","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"ea","ea","ea","\u0065\u0061","\u0065\u0061","U+0065 U+0061","U+0065 U+0061","ea","Dane-Ẕaa"
"ee","ee","ee","\u0065\u0065","\u0065\u0065","U+0065 U+0065","U+0065 U+0065","ee","diitiidʔaaʔtx̣,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kyuquot-checleseht,Lingít,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Nɬeʔkepmxcín,nuučaan̓uł,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"ei","ei","ei","\u0065\u0069","\u0065\u0069","U+0065 U+0069","U+0065 U+0069","ei","Lingít"
"ey","ey","ey","\u0065\u0079","\u0065\u0079","U+0065 U+0079","U+0065 U+0079","ey","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"eˈe","eˈe","eˈe","\u0065\u02C8\u0065","\u0065\u02C8\u0065","U+0065 U+02C8 U+0065","U+0065 U+02C8 U+0065","e'e","Sm'algya̱x"
"e̱","e̱","e̱","\u0065\u0331","\u0065\u0331","U+0065 U+0331","U+0065 U+0331","e","Tseʼkhene"
"e’","e’","e’","\u0065\u2019","\u0065\u2019","U+0065 U+2019","U+0065 U+2019","e'","Dakelh"
"f","f","f","\u0066","\u0066","U+0066","U+0066","f","Danezāgéʼ,Dene Kʼe"
"g","g","g","\u0067","\u0067","U+0067","U+0067","g","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,Éy7á7juuthem,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Lingít,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,St̓át̓imcets,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"gg","gg","gg","\u0067\u0067","\u0067\u0067","U+0067 U+0067","U+0067 U+0067","gg","Nedutʼen / Witsuwitʼen,Tsilhqotʼin"
"ggw","ggw","ggw","\u0067\u0067\u0077","\u0067\u0067\u0077","U+0067 U+0067 U+0077","U+0067 U+0067 U+0077","ggw","Tsilhqotʼin"
"gh","gh","gh","\u0067\u0068","\u0067\u0068","U+0067 U+0068","U+0067 U+0068","gh","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,Nedutʼen / Witsuwitʼen,Southern Tutchone,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"ghw","ghw","ghw","\u0067\u0068\u0077","\u0067\u0068\u0077","U+0067 U+0068 U+0077","U+0067 U+0068 U+0077","ghw","Southern Tutchone"
"gv","gv","gv","\u0067\u0076","\u0067\u0076","U+0067 U+0076","U+0067 U+0076","gv","Haíɫzaqvḷa,ʼWuik̓ala"
"gw","gw","gw","\u0067\u0077","\u0067\u0077","U+0067 U+0077","U+0067 U+0077","gw","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,kwakiutl,Kwak̕wala,Lingít,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Secwepemctsín,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,St̓át̓imcets,Tseʼkhene,Tsilhqotʼin"
"gy","gy","gy","\u0067\u0079","\u0067\u0079","U+0067 U+0079","U+0067 U+0079","gy","Sgüüx̱s,Sm'algya̱x"
"g°","g°","g°","\u0067\u00B0","\u0067\u00B0","U+0067 U+00B0","U+0067 U+00B0","gdeg","X̄enaksialak̓ala / X̄aʼislak̓ala"
"gʷ","gʷ","gʷ","\u0067\u02B7","\u0067\u02B7","U+0067 U+02B7","U+0067 U+02B7","gw","Kwak̕wala"
"gʸ","gʸ","gʸ","\u0067\u02B8","\u0067\u02B8","U+0067 U+02B8","U+0067 U+02B8","gy","Éy7á7juuthem"
"g̓","g̓","g̓","\u0067\u0313","\u0067\u0313","U+0067 U+0313","U+0067 U+0313","g","St̓át̓imcets"
"g̓w","g̓w","g̓w","\u0067\u0313\u0077","\u0067\u0313\u0077","U+0067 U+0313 U+0077","U+0067 U+0313 U+0077","gw","Secwepemctsín,St̓át̓imcets"
"g̱","g̱","g̱","\u0067\u0331","\u0067\u0331","U+0067 U+0331","U+0067 U+0331","g","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,kwakiutl,Kwak̕wala,Lingít,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"g̱w","g̱w","g̱w","\u0067\u0331\u0077","\u0067\u0331\u0077","U+0067 U+0331 U+0077","U+0067 U+0331 U+0077","gw","kwakiutl,Kwak̕wala,Lingít"
"g̲","g̲","g̲","\u0067\u0332","\u0067\u0332","U+0067 U+0332","U+0067 U+0332","g","Nɬeʔkepmxcín"
"h","h","h","\u0068","\u0068","U+0068","U+0068","h","Dakelh,Dane-Ẕaa,Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,Éy7á7juuthem,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Lingít,Nedutʼen / Witsuwitʼen,nēhiyawēwin,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Nuxalk,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,she shashishalhem,Sm'algya̱x,Southern Tutchone,St̓át̓imcets,Tāłtān,Tseʼkhene,Tsilhqotʼin,X̱aad Kil / X̱aayda Kil,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"hh","hh","hh","\u0068\u0068","\u0068\u0068","U+0068 U+0068","U+0068 U+0068","hh","Nɬeʔkepmxcín"
"hl","hl","hl","\u0068\u006C","\u0068\u006C","U+0068 U+006C","U+0068 U+006C","hl","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,X̱aad Kil / X̱aayda Kil"
"hll","hll","hll","\u0068\u006C\u006C","\u0068\u006C\u006C","U+0068 U+006C U+006C","U+0068 U+006C U+006C","hll","X̱aad Kil / X̱aayda Kil"
"hw","hw","hw","\u0068\u0077","\u0068\u0077","U+0068 U+0077","U+0068 U+0077","hw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"h̓","h̓","h̓","\u0068\u0313","\u0068\u0313","U+0068 U+0313","U+0068 U+0313","h","Haíɫzaqvḷa"
"h̲h̲","h̲h̲","h̲h̲","\u0068\u0332\u0068\u0332","\u0068\u0332\u0068\u0332","U+0068 U+0332 U+0068 U+0332","U+0068 U+0332 U+0068 U+0332","hh","Nɬeʔkepmxcín"
