Confusable,Canonical Character,Languages
"Cʼ","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Cˈ","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C̒","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C̓","’C","ʼWuik̓ala"
"C̔","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C̕","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C̷","Ȼ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C̸","Ȼ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C՚","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"C’","C̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"D","D","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Dl","Dl","Dakelh"
"Dl̷","Dł","kwakiutl,Kwak̕wala"
"Dl̸","Dł","kwakiutl,Kwak̕wala"
"Dz","Dz","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Dz_","Dẕ","Tāłtān"
"Dz̠","Dẕ","Tāłtān"
"Dz̲","Dẕ","Tāłtān"
"Dł","Dł","kwakiutl,Kwak̕wala"
"E","E","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Ee","Ee","Sgüüx̱s"
"E¯","Ē","Southern Tutchone,Tāłtān"
"E̅","Ē","Southern Tutchone,Tāłtān"
"E̓","É","Secwepemctsín"
"E̲","E̱","Tseʼkhene"
"E‾","Ē","Southern Tutchone,Tāłtān"
"E︤","Ē","Southern Tutchone,Tāłtān"
"E︥","Ē","Southern Tutchone,Tāłtān"
"G","G","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"G_","G̱","kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"Gh","Gh","Dakelh"
"Gw","Gw","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Gw’","G̓w","Secwepemctsín"
"Gy","Gy","Sgüüx̱s"
"Gʼ","G̓","St̓át̓imcets"
"Gʼw","G̓w","Secwepemctsín,St̓át̓imcets"
"Gˈ","G̓","St̓át̓imcets"
"Gˈw","G̓w","Secwepemctsín,St̓át̓imcets"
"G̒","G̓","St̓át̓imcets"
"G̒w","G̓w","Secwepemctsín,St̓át̓imcets"
"G̔","G̓","St̓át̓imcets"
"G̔w","G̓w","Secwepemctsín,St̓át̓imcets"
"G̕","G̓","St̓át̓imcets"
"G̕w","G̓w","Secwepemctsín,St̓át̓imcets"
"G̠","G̱","kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"G̱","G̱","kwakiutl,Kwak̕wala,Sgüüx̱s"
"G̱w","G̱w","kwakiutl,Kwak̕wala"
"G̲","G̱","kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"G՚","G̓","St̓át̓imcets"
"G՚w","G̓w","Secwepemctsín,St̓át̓imcets"
"G’","G̓","St̓át̓imcets"
"G’w","G̓w","Secwepemctsín,St̓át̓imcets"
"H","H","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Hʼ","H̓","Haíɫzaqvḷa"
"Hˈ","H̓","Haíɫzaqvḷa"
"H̒","H̓","Haíɫzaqvḷa"
"H̔","H̓","Haíɫzaqvḷa"
"H̕","H̓","Haíɫzaqvḷa"
"H՚","H̓","Haíɫzaqvḷa"
"H’","H̓","Haíɫzaqvḷa"
"I","I","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Ii","Ii","Sgüüx̱s"
"I¯","Ī","Southern Tutchone,Tāłtān"
"Iʼ","I̓","Haíɫzaqvḷa"
"Iˈ","I̓","Haíɫzaqvḷa"
"I̅","Ī","Southern Tutchone,Tāłtān"
"I̒","I̓","Haíɫzaqvḷa"
"I̓","Í","Secwepemctsín"
"I̔","I̓","Haíɫzaqvḷa"
"I̕","I̓","Haíɫzaqvḷa"
"I̲","I̱","Tseʼkhene"
"I՚","I̓","Haíɫzaqvḷa"
"I’","I̓","Haíɫzaqvḷa"
"I‾","Ī","Southern Tutchone,Tāłtān"
"I︤","Ī","Southern Tutchone,Tāłtān"
"I︥","Ī","Southern Tutchone,Tāłtān"
"J","J","Dakelh"
"K","K","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"K'","K'","Dakelh,Sgüüx̱s"
"K'","K’","Lingít,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"KWʼ","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KWˈ","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW̒","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW̓","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW̔","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW̕","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW՚","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW’","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"KW＇","KW'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"K_","K̲","Nɬeʔkepmxcín"
"K_","Ḵ","kwakiutl,Kwak̕wala,Nisg̱aʼa,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"K_w","K̲w","Nɬeʔkepmxcín"
"K_w","Ḵw","kwakiutl,Kwak̕wala"
"K_ʼ","Ḵ'","Nisg̱aʼa"
"K_ʼw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_ˈw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_̒w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_̓","Ḵ̓","kwakiutl,Kwak̕wala"
"K_̔w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_̕w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_՚w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K_’","Ḵ'","Nisg̱aʼa"
"K_’w","Ḵ̕w","kwakiutl,Kwak̕wala"
"Kh","Kh","Dakelh"
"Kw","Kw","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Kw'","Kw'","Dakelh,Sgüüx̱s"
"Kw'","Kw’","Nuxalk"
"Kwʼ","Kw'","Dakelh,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s"
"Kwʼ","Kw’","Nuxalk"
"Kwˈ","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kwˈ","Kw’","Nuxalk"
"Kw̒","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw̒","Kw’","Nuxalk"
"Kw̓","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw̓","Kw’","Nuxalk"
"Kw̔","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw̔","Kw’","Nuxalk"
"Kw̕","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw̕","Kw’","Nuxalk"
"Kw՚","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw՚","Kw’","Nuxalk"
"Kw’","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw’","K̓w","Secwepemctsín"
"Kw＇","Kw'","Dakelh,Nisg̱aʼa,Sgüüx̱s"
"Kw＇","Kw’","Nuxalk"
"Ky","Ky","Sgüüx̱s"
"Ky'","Ky'","Sgüüx̱s"
"Kʼ","K'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Kʼ","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"Kʼ","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"KʼV","K̓V","Haíɫzaqvḷa"
"Kʼw","K̓w","Secwepemctsín,St̓át̓imcets"
"Kʼw","K̕w","kwakiutl,Kwak̕wala"
"Kʼʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Kˈ","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"Kˈ","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"Kˈ","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"KˈV","K̓V","Haíɫzaqvḷa"
"Kˈw","K̓w","Secwepemctsín,St̓át̓imcets"
"Kˈw","K̕w","kwakiutl,Kwak̕wala"
"Kˈʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K̒","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K̒","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"K̒","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"K̒V","K̓V","Haíɫzaqvḷa"
"K̒w","K̓w","Secwepemctsín,St̓át̓imcets"
"K̒w","K̕w","kwakiutl,Kwak̕wala"
"K̒ʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K̓","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K̓","K̓","kwakiutl,Kwak̕wala"
"K̓","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"K̓","’K","ʼWuik̓ala"
"K̓w","K̕w","kwakiutl,Kwak̕wala"
"K̔","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K̔","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"K̔","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"K̔V","K̓V","Haíɫzaqvḷa"
"K̔w","K̓w","Secwepemctsín,St̓át̓imcets"
"K̔w","K̕w","kwakiutl,Kwak̕wala"
"K̔ʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K̕","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K̕","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"K̕","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"K̕V","K̓V","Haíɫzaqvḷa"
"K̕w","K̓w","Secwepemctsín,St̓át̓imcets"
"K̕w","K̕w","kwakiutl,Kwak̕wala"
"K̕ʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K̠","K̲","Nɬeʔkepmxcín"
"K̠","Ḵ","kwakiutl,Kwak̕wala,Nisg̱aʼa,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"K̠w","K̲w","Nɬeʔkepmxcín"
"K̠w","Ḵw","kwakiutl,Kwak̕wala"
"K̠ʼ","Ḵ'","Nisg̱aʼa"
"K̠ʼw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠ˈw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠̒w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠̔w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠̕w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠՚","Ḵ'","Nisg̱aʼa"
"K̠՚w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̠’","Ḵ'","Nisg̱aʼa"
"K̠’w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲","Ḵ","kwakiutl,Kwak̕wala,Nisg̱aʼa,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"K̲w","Ḵw","kwakiutl,Kwak̕wala"
"K̲ʼ","Ḵ'","Nisg̱aʼa,Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲ʼw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲ˈ","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲ˈw","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲̒","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲̒w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲̓","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲̓","Ḵ̓","kwakiutl,Kwak̕wala"
"K̲̔","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲̔w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲̕","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲̕w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲՚","Ḵ'","Nisg̱aʼa,Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲՚w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲’","Ḵ'","Nisg̱aʼa,Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̲’w","Ḵ̕w","kwakiutl,Kwak̕wala"
"K̲＇","Ḵ'","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"K̵","₭","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K̶","₭","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K՚","K'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K՚","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"K՚","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"K՚V","K̓V","Haíɫzaqvḷa"
"K՚w","K̓w","Secwepemctsín,St̓át̓imcets"
"K՚w","K̕w","kwakiutl,Kwak̕wala"
"K՚ʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K’","K'","Dakelh,Dene Kʼe,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K’","K̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"K’V","K̓V","Haíɫzaqvḷa"
"K’w","K̓w","Secwepemctsín,St̓át̓imcets"
"K’w","K̕w","kwakiutl,Kwak̕wala"
"K’ʷ","K̓ʷ","Nɬeʔkepmxcín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"K＇","K'","Dakelh,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"K＇","K’","Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān"
"L","L","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Lh","Lh","Dakelh"
"Lʼ","L̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"Lˈ","L̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"L̀","L̓","Nisg̱aʼa"
"L̍","L̓","Nisg̱aʼa,Nɬeʔkepmxcín,St̓át̓imcets"
"L̒","L̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"L̓","’L","ʼWuik̓ala"
"L̔","L̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"L̕","L̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"L̠","L̲","St̓át̓imcets"
"L̵","Ƚ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"L̶","Ƚ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"L̷","Ł","Dene Kʼe,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Sgüüx̱s,Southern Tutchone,Tāłtān"
"L̷","Ɬ","Nɬeʔkepmxcín"
"L̸","Ł","Dene Kʼe,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Sgüüx̱s,Southern Tutchone,Tāłtān"
"L̸","Ɬ","Nɬeʔkepmxcín"
"L՚","L̓","Haíɫzaqvḷa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"L’","L̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M","M","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Mʼ","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"Mˈ","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M̍","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M̒","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M̓","’M","ʼWuik̓ala"
"M̔","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M̕","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M՚","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"M’","M̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N","N","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"N_","Ṉ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"Nʼ","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"Nˈ","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N̍","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N̒","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N̓","’N","ʼWuik̓ala"
"N̔","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N̕","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N̠","Ṉ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"N̲","Ṉ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"N՚","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"N’","N̓","Haíɫzaqvḷa,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets"
"O","O","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"Oo","Oo","Dakelh,Sgüüx̱s"
"O¯","Ō","Southern Tutchone,Tāłtān"
"O̅","Ō","Southern Tutchone,Tāłtān"
"O̓","Ó","Secwepemctsín"
"O̲","O̱","Tseʼkhene"
"O̵","Ɵ","Nɬeʔkepmxcín"
"O̶","Ɵ","Nɬeʔkepmxcín"
"O‾","Ō","Southern Tutchone,Tāłtān"
"O︤","Ō","Southern Tutchone,Tāłtān"
"O︥","Ō","Southern Tutchone,Tāłtān"
"P","P","kwakiutl,Kwak̕wala,Sgüüx̱s"
"P'","P'","Sgüüx̱s"
"P'","P’","Nuxalk"
"Pʼ","P'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s"
"Pʼ","P̓","Haíɫzaqvḷa,kwakiutl,Kwak̕wala,Nɬeʔkepmxcín,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"Pʼ","P’","Nuxalk"
