Confusable,Canonical Character,Languages
"'","'","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"'","ʼ","Southern Tutchone"
"'","ˈ","X̄enaksialak̓ala / X̄aʼislak̓ala"
"'","’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Tāłtān,Tseʼkhene,X̱aad Kil / X̱aayda Kil,ʼWuik̓ala"
"'L","'L","Sgüüx̱s"
"'M","'M","Sgüüx̱s"
"'N","'N","Sgüüx̱s"
"'W","'W","Sgüüx̱s"
"'Y","'Y","Sgüüx̱s"
"'a","’a","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"'a'","’a’","Dakelh"
"'ai","’ai","Dakelh"
"'ai'","’ai’","Dakelh"
"'e","’e","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"'e'","’e’","Dakelh"
"'i","’i","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"'i'","’i’","Dakelh"
"'l","'l","Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"'m","'m","Sgüüx̱s"
"'n","'n","Sgüüx̱s"
"'o","’o","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"'o'","’o’","Dakelh"
"'oo","’oo","Dakelh"
"'oo'","’oo’","Dakelh"
"'u","’u","Dakelh,X̄enaksialak̓ala / X̄aʼislak̓ala"
"'u'","’u’","Dakelh"
"'w","'w","Sgüüx̱s"
"'y","'y","Sgüüx̱s"
"'Ẅ","'Ẅ","Sgüüx̱s"
"'ẅ","'ẅ","Sgüüx̱s"
"A","A","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"A_","A̱","kwakiutl,Kwak̕wala,Sgüüx̱s,Sm'algya̱x,Tseʼkhene"
"Aa","Aa","Sgüüx̱s"
"A¯","Ā","Tāłtān"
"Aʼ","A̓","Haíɫzaqvḷa"
"Aˈ","A̓","Haíɫzaqvḷa"
"A̅","Ā","Tāłtān"
"A̒","A̓","Haíɫzaqvḷa"
"A̓","Á","Secwepemctsín"
"A̔","A̓","Haíɫzaqvḷa"
"A̕","A̓","Haíɫzaqvḷa"
"A̠","A̱","kwakiutl,Kwak̕wala,Sgüüx̱s,Sm'algya̱x,Tseʼkhene"
"A̱","A̱","kwakiutl,Kwak̕wala,Sgüüx̱s"
"A̲","A̱","kwakiutl,Kwak̕wala,Sgüüx̱s,Sm'algya̱x,Tseʼkhene"
"A̷","Ⱥ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"A̸","Ⱥ","SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"A՚","A̓","Haíɫzaqvḷa"
"A’","A̓","Haíɫzaqvḷa"
"A‾","Ā","Tāłtān"
"A︤","Ā","Tāłtān"
"A︥","Ā","Tāłtān"
"B","B","Dakelh,kwakiutl,Kwak̕wala,Sgüüx̱s"
"CHʼ","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CHˈ","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH̒","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH̓","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH̔","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH̕","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH՚","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH’","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"CH＇","CH'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"Ch","Ch","Dakelh,Sgüüx̱s"
"Ch'","Ch'","Dakelh"
"Ch'","Ch’","Tāłtān"
"Chʼ","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Chʼ","Ch’","Tāłtān"
"Chˈ","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Chˈ","Ch’","Tāłtān"
"Ch̒","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch̒","Ch’","Tāłtān"
"Ch̓","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch̓","Ch’","Tāłtān"
"Ch̔","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch̔","Ch’","Tāłtān"
"Ch̕","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch̕","Ch’","Tāłtān"
"Ch՚","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch՚","Ch’","Tāłtān"
"Ch’","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch＇","Ch'","Dakelh,Dene Kʼe,Tseʼkhene"
"Ch＇","Ch’","Tāłtān"
"Cʼ","C'","Nedutʼen / Witsuwitʼen"
