Character,NFD Code Points,NFC Code Points
"ᐊ","U+140A","U+140A"
"ᐊᐧ","U+140A U+1427","U+140A U+1427"
"ᐋ","U+140B","U+140B"
"ᐋᐧ","U+140B U+1427","U+140B U+1427"
"ᐟ","U+141F","U+141F"
"ᐠ","U+1420","U+1420"
"ᐢ","U+1422","U+1422"
"ᐣ","U+1423","U+1423"
"ᐤ","U+1424","U+1424"
"ᐦ","U+1426","U+1426"
"ᐧ","U+1427","U+1427"
"ᐧᐁ","U+1427 U+1401","U+1427 U+1401"
"ᐧᐃ","U+1427 U+1403","U+1427 U+1403"
"ᐧᐄ","U+1427 U+1404","U+1427 U+1404"
"ᐧᐅ","U+1427 U+1405","U+1427 U+1405"
"ᐧᐆ","U+1427 U+1406","U+1427 U+1406"
"ᐧᐊ","U+1427 U+140A","U+1427 U+140A"
"ᐧᐋ","U+1427 U+140B","U+1427 U+140B"
"ᐨ","U+1428","U+1428"
"ᐩ","U+1429","U+1429"
"ᐯ","U+142F","U+142F"
"ᐱ","U+1431","U+1431"
"ᐲ","U+1432","U+1432"
"ᐳ","U+1433","U+1433"
"ᐴ","U+1434","U+1434"
"ᐸ","U+1438","U+1438"
"ᐹ","U+1439","U+1439"
"ᑉ","U+1449","U+1449"
"ᑊ","U+144A","U+144A"
"ᑌ","U+144C","U+144C"
"ᑎ","U+144E","U+144E"
"ᑏ","U+144F","U+144F"
"ᑐ","U+1450","U+1450"
"ᑑ","U+1451","U+1451"
"ᑕ","U+1455","U+1455"
"ᑖ","U+1456","U+1456"
"ᑦ","U+1466","U+1466"
"ᑫ","U+146B","U+146B"
"ᑭ","U+146D","U+146D"
"ᑮ","U+146E","U+146E"
"ᑯ","U+146F","U+146F"
"ᑰ","U+1470","U+1470"
"ᑲ","U+1472","U+1472"
"ᑳ","U+1473","U+1473"
"ᒃ","U+1483","U+1483"
"ᒉ","U+1489","U+1489"
"ᒋ","U+148B","U+148B"
"ᒌ","U+148C","U+148C"
"ᒍ","U+148D","U+148D"
"ᒎ","U+148E","U+148E"
"ᒐ","U+1490","U+1490"
"ᒑ","U+1491","U+1491"
"ᒡ","U+14A1","U+14A1"
"ᒣ","U+14A3","U+14A3"
"ᒥ","U+14A5","U+14A5"
"ᒦ","U+14A6","U+14A6"
"ᒧ","U+14A7","U+14A7"
"ᒨ","U+14A8","U+14A8"
"ᒪ","U+14AA","U+14AA"
"ᒫ","U+14AB","U+14AB"
"ᒻ","U+14BB","U+14BB"
"ᒼ","U+14BC","U+14BC"
"ᓀ","U+14C0","U+14C0"
"ᓂ","U+14C2","U+14C2"
"ᓃ","U+14C3","U+14C3"
"ᓄ","U+14C4","U+14C4"
"ᓅ","U+14C5","U+14C5"
"ᓇ","U+14C7","U+14C7"
"ᓈ","U+14C8","U+14C8"
"ᓐ","U+14D0","U+14D0"
"ᓬ","U+14EC","U+14EC"
"ᓭ","U+14ED","U+14ED"
"ᓯ","U+14EF","U+14EF"
"ᓰ","U+14F0","U+14F0"
"ᓱ","U+14F1","U+14F1"
"ᓲ","U+14F2","U+14F2"
"ᓴ","U+14F4","U+14F4"
"ᓵ","U+14F5","U+14F5"
"ᔅ","U+1505","U+1505"
"ᔐ","U+1510","U+1510"
"ᔑ","U+1511","U+1511"
"ᔒ","U+1512","U+1512"
"ᔓ","U+1513","U+1513"
"ᔔ","U+1514","U+1514"
"ᔕ","U+1515","U+1515"
"ᔖ","U+1516","U+1516"
"ᔥ","U+1525","U+1525"
"ᔦ","U+1526","U+1526"
"ᔨ","U+1528","U+1528"
"ᔩ","U+1529","U+1529"
"ᔪ","U+152A","U+152A"
"ᔫ","U+152B","U+152B"
"ᔭ","U+152D","U+152D"
"ᔮ","U+152E","U+152E"
"ᔾ","U+153E","U+153E"
"ᕒ","U+1552","U+1552"
"᙮","U+166E","U+166E"
"ḗ","U+0065 U+0304 U+0301","U+1E17"
"ḡ","U+0067 U+0304","U+1E21"
"ḡ°","U+0067 U+0304 U+00B0","U+1E21 U+00B0"
"ḥ","U+0068 U+0323","U+1E25"
"Ḱ","U+004B U+0301","U+1E30"
"Ḵ","U+004B U+0331","U+1E34"
"ḵ","U+006B U+0331","U+1E35"
"ḵ'","U+006B U+0331 U+0027","U+1E35 U+0027"
"ḵw","U+006B U+0331 U+0077","U+1E35 U+0077"
"ḵw̕","U+006B U+0331 U+0077 U+0315","U+1E35 U+0077 U+0315"
"ḵˈ","U+006B U+0331 U+02C8","U+1E35 U+02C8"
"ḵ̓","U+006B U+0331 U+0313","U+1E35 U+0313"
"ḵ̕","U+006B U+0331 U+0315","U+1E35 U+0315"
"ḵ̕w","U+006B U+0331 U+0315 U+0077","U+1E35 U+0315 U+0077"
"ḵ’w","U+006B U+0331 U+2019 U+0077","U+1E35 U+2019 U+0077"
"ḷ","U+006C U+0323","U+1E37"
"ḷ́","U+006C U+0323 U+0301","U+1E37 U+0301"
"ḷ̓","U+006C U+0323 U+0313","U+1E37 U+0313"
"ṃ","U+006D U+0323","U+1E43"
"ṃ́","U+006D U+0323 U+0301","U+1E43 U+0301"
"ṃ̓","U+006D U+0323 U+0313","U+1E43 U+0313"
"ṇ","U+006E U+0323","U+1E47"
"ṇ́","U+006E U+0323 U+0301","U+1E47 U+0301"
"ṇ̓","U+006E U+0323 U+0313","U+1E47 U+0313"
"Ṉ","U+004E U+0331","U+1E48"
"ṓ","U+006F U+0304 U+0301","U+1E53"
"ṣ","U+0073 U+0323","U+1E63"
"Ṯ","U+0054 U+0331","U+1E6E"
"ẅ","U+0077 U+0308","U+1E85"
"ẑ","U+007A U+0302","U+1E91"
"ẕ","U+007A U+0331","U+1E95"
"ị","U+0069 U+0323","U+1ECB"
"’","U+2019","U+2019"
"’a","U+2019 U+0061","U+2019 U+0061"
"’ai","U+2019 U+0061 U+0069","U+2019 U+0061 U+0069"
"’ai’","U+2019 U+0061 U+0069 U+2019","U+2019 U+0061 U+0069 U+2019"
"’a’","U+2019 U+0061 U+2019","U+2019 U+0061 U+2019"
"’e","U+2019 U+0065","U+2019 U+0065"
"’e’","U+2019 U+0065 U+2019","U+2019 U+0065 U+2019"
"’i","U+2019 U+0069","U+2019 U+0069"
"’i’","U+2019 U+0069 U+2019","U+2019 U+0069 U+2019"
"’o","U+2019 U+006F","U+2019 U+006F"
"’oo","U+2019 U+006F U+006F","U+2019 U+006F U+006F"
"’oo’","U+2019 U+006F U+006F U+2019","U+2019 U+006F U+006F U+2019"
"’o’","U+2019 U+006F U+2019","U+2019 U+006F U+2019"
"’u","U+2019 U+0075","U+2019 U+0075"
"’u’","U+2019 U+0075 U+2019","U+2019 U+0075 U+2019"
"₭","U+20AD","U+20AD"
