Character,NFD Code Points,NFC Code Points
"aó","U+0061 U+006F U+0301","U+0061 U+00F3"
"aˈa","U+0061 U+02C8 U+0061","U+0061 U+02C8 U+0061"
"a̓","U+0061 U+0313","U+0061 U+0313"
"a̱","U+0061 U+0331","U+0061 U+0331"
"a̱a̱","U+0061 U+0331 U+0061 U+0331","U+0061 U+0331 U+0061 U+0331"
"a̱ˈa̱","U+0061 U+0331 U+02C8 U+0061 U+0331","U+0061 U+0331 U+02C8 U+0061 U+0331"
"a’","U+0061 U+2019","U+0061 U+2019"
"b","U+0062","U+0062"
"b̓","U+0062 U+0313","U+0062 U+0313"
"c","U+0063","U+0063"
"c'","U+0063 U+0027","U+0063 U+0027"
"ch","U+0063 U+0068","U+0063 U+0068"
"ch'","U+0063 U+0068 U+0027","U+0063 U+0068 U+0027"
"chʼ","U+0063 U+0068 U+02BC","U+0063 U+0068 U+02BC"
"ch̕","U+0063 U+0068 U+0315","U+0063 U+0068 U+0315"
"ch’","U+0063 U+0068 U+2019","U+0063 U+0068 U+2019"
"cw","U+0063 U+0077","U+0063 U+0077"
"c̓","U+0063 U+0313","U+0063 U+0313"
"c̓h","U+0063 U+0313 U+0068","U+0063 U+0313 U+0068"
"c̣","U+0063 U+0323","U+0063 U+0323"
"c’","U+0063 U+2019","U+0063 U+2019"
"d","U+0064","U+0064"
"ddh","U+0064 U+0064 U+0068","U+0064 U+0064 U+0068"
"dh","U+0064 U+0068","U+0064 U+0068"
"dl","U+0064 U+006C","U+0064 U+006C"
"dz","U+0064 U+007A","U+0064 U+007A"
"dł","U+0064 U+0142","U+0064 U+0142"
"d̓","U+0064 U+0313","U+0064 U+0313"
"d̲z̲","U+0064 U+0332 U+007A U+0332","U+0064 U+0332 U+007A U+0332"
"dᶻ","U+0064 U+1DBB","U+0064 U+1DBB"
"dẑ","U+0064 U+007A U+0302","U+0064 U+1E91"
"dẕ","U+0064 U+007A U+0331","U+0064 U+1E95"
"e","U+0065","U+0065"
"e:","U+0065 U+003A","U+0065 U+003A"
"ea","U+0065 U+0061","U+0065 U+0061"
"ee","U+0065 U+0065","U+0065 U+0065"
"ei","U+0065 U+0069","U+0065 U+0069"
"ey","U+0065 U+0079","U+0065 U+0079"
"eˈe","U+0065 U+02C8 U+0065","U+0065 U+02C8 U+0065"
"e̱","U+0065 U+0331","U+0065 U+0331"
"e’","U+0065 U+2019","U+0065 U+2019"
"f","U+0066","U+0066"
"g","U+0067","U+0067"
"gg","U+0067 U+0067","U+0067 U+0067"
"ggw","U+0067 U+0067 U+0077","U+0067 U+0067 U+0077"
"gh","U+0067 U+0068","U+0067 U+0068"
"ghw","U+0067 U+0068 U+0077","U+0067 U+0068 U+0077"
"gv","U+0067 U+0076","U+0067 U+0076"
"gw","U+0067 U+0077","U+0067 U+0077"
"gy","U+0067 U+0079","U+0067 U+0079"
"g°","U+0067 U+00B0","U+0067 U+00B0"
"gʷ","U+0067 U+02B7","U+0067 U+02B7"
"gʸ","U+0067 U+02B8","U+0067 U+02B8"
"g̓","U+0067 U+0313","U+0067 U+0313"
"g̓w","U+0067 U+0313 U+0077","U+0067 U+0313 U+0077"
"g̱","U+0067 U+0331","U+0067 U+0331"
"g̱w","U+0067 U+0331 U+0077","U+0067 U+0331 U+0077"
"g̲","U+0067 U+0332","U+0067 U+0332"
"h","U+0068","U+0068"
"hh","U+0068 U+0068","U+0068 U+0068"
"hl","U+0068 U+006C","U+0068 U+006C"
"hll","U+0068 U+006C U+006C","U+0068 U+006C U+006C"
"hw","U+0068 U+0077","U+0068 U+0077"
"h̓","U+0068 U+0313","U+0068 U+0313"
"h̲h̲","U+0068 U+0332 U+0068 U+0332","U+0068 U+0332 U+0068 U+0332"
"i","U+0069","U+0069"
"i:","U+0069 U+003A","U+0069 U+003A"
"ii","U+0069 U+0069","U+0069 U+0069"
"i·","U+0069 U+00B7","U+0069 U+00B7"
"iˈi","U+0069 U+02C8 U+0069","U+0069 U+02C8 U+0069"
"i̓","U+0069 U+0313","U+0069 U+0313"
"i̱","U+0069 U+0331","U+0069 U+0331"
"i’","U+0069 U+2019","U+0069 U+2019"
"j","U+006A","U+006A"
"k","U+006B","U+006B"
"k'","U+006B U+0027","U+006B U+0027"
"k'w","U+006B U+0027 U+0077","U+006B U+0027 U+0077"
"k'y","U+006B U+0027 U+0079","U+006B U+0027 U+0079"
"kh","U+006B U+0068","U+006B U+0068"
"khw","U+006B U+0068 U+0077","U+006B U+0068 U+0077"
"kv","U+006B U+0076","U+006B U+0076"
"kw","U+006B U+0077","U+006B U+0077"
"kw'","U+006B U+0077 U+0027","U+006B U+0077 U+0027"
"kw̕","U+006B U+0077 U+0315","U+006B U+0077 U+0315"
"kw’","U+006B U+0077 U+2019","U+006B U+0077 U+2019"
"ky","U+006B U+0079","U+006B U+0079"
"k°","U+006B U+00B0","U+006B U+00B0"
"kʷ","U+006B U+02B7","U+006B U+02B7"
"kʸ","U+006B U+02B8","U+006B U+02B8"
"kʼ","U+006B U+02BC","U+006B U+02BC"
"kʼw","U+006B U+02BC U+0077","U+006B U+02BC U+0077"
"kˈ","U+006B U+02C8","U+006B U+02C8"
"kˈw","U+006B U+02C8 U+0077","U+006B U+02C8 U+0077"
"kˈy","U+006B U+02C8 U+0079","U+006B U+02C8 U+0079"
"k̓","U+006B U+0313","U+006B U+0313"
"k̓v","U+006B U+0313 U+0076","U+006B U+0313 U+0076"
"k̓w","U+006B U+0313 U+0077","U+006B U+0313 U+0077"
"k̓°","U+006B U+0313 U+00B0","U+006B U+0313 U+00B0"
"k̓ʷ","U+006B U+0313 U+02B7","U+006B U+0313 U+02B7"
"k̓ʸ","U+006B U+0313 U+02B8","U+006B U+0313 U+02B8"
"k̕","U+006B U+0315","U+006B U+0315"
"k̕w","U+006B U+0315 U+0077","U+006B U+0315 U+0077"
"ḵ’","U+006B U+0331 U+2019","U+1E35 U+2019"
"k̲","U+006B U+0332","U+006B U+0332"
"k’","U+006B U+2019","U+006B U+2019"
"k’w","U+006B U+2019 U+0077","U+006B U+2019 U+0077"
"l","U+006C","U+006C"
"lh","U+006C U+0068","U+006C U+0068"
"ll","U+006C U+006C","U+006C U+006C"
"l̓","U+006C U+0313","U+006C U+0313"
"l̲","U+006C U+0332","U+006C U+0332"
"l’","U+006C U+2019","U+006C U+2019"
"m","U+006D","U+006D"
"mb","U+006D U+0062","U+006D U+0062"
"m̓","U+006D U+0313","U+006D U+0313"
"n","U+006E","U+006E"
"nd","U+006E U+0064","U+006E U+0064"
"ng","U+006E U+0067","U+006E U+0067"
"ng.","U+006E U+0067 U+002E","U+006E U+0067 U+002E"
"nh","U+006E U+0068","U+006E U+0068"
"nj","U+006E U+006A","U+006E U+006A"
"n̓","U+006E U+0313","U+006E U+0313"
"o","U+006F","U+006F"
"o:","U+006F U+003A","U+006F U+003A"
"oo","U+006F U+006F","U+006F U+006F"
"ooy","U+006F U+006F U+0079","U+006F U+006F U+0079"
"oo’","U+006F U+006F U+2019","U+006F U+006F U+2019"
"ou","U+006F U+0075","U+006F U+0075"
"oy","U+006F U+0079","U+006F U+0079"
"oˈo","U+006F U+02C8 U+006F","U+006F U+02C8 U+006F"
"o̱","U+006F U+0331","U+006F U+0331"
"o̱o","U+006F U+0331 U+006F","U+006F U+0331 U+006F"
"o̱o̱","U+006F U+0331 U+006F U+0331","U+006F U+0331 U+006F U+0331"
"o’","U+006F U+2019","U+006F U+2019"
"p","U+0070","U+0070"
"p'","U+0070 U+0027","U+0070 U+0027"
"pˈ","U+0070 U+02C8","U+0070 U+02C8"
"p̓","U+0070 U+0313","U+0070 U+0313"
"p̕","U+0070 U+0315","U+0070 U+0315"
"p’","U+0070 U+2019","U+0070 U+2019"
"q","U+0071","U+0071"
"q'","U+0071 U+0027","U+0071 U+0027"
"qv","U+0071 U+0076","U+0071 U+0076"
"qw","U+0071 U+0077","U+0071 U+0077"
"qw'","U+0071 U+0077 U+0027","U+0071 U+0077 U+0027"
"qw’","U+0071 U+0077 U+2019","U+0071 U+0077 U+2019"
"q°","U+0071 U+00B0","U+0071 U+00B0"
"qʷ","U+0071 U+02B7","U+0071 U+02B7"
"q̓","U+0071 U+0313","U+0071 U+0313"
"q̓v","U+0071 U+0313 U+0076","U+0071 U+0313 U+0076"
"q̓w","U+0071 U+0313 U+0077","U+0071 U+0313 U+0077"
"q̓°","U+0071 U+0313 U+00B0","U+0071 U+0313 U+00B0"
